Delivery;Delivery Priority;Deliv. date(From/to);Delivery Type;Reference Document;Ship-To Party;Name of the ship-to party;Location of the ship-to party;Postal Code;Item;Material;Actual delivery qty;Base Unit of Measure;Batch;Plant;Storage Location
5999011296;1;09.10.2023;ZLF;4900011296;850268319;ООО "АГРОТОРГ";Г. МОСКВА;125362;900001;173961;44;PC;XY20231113;5441;1
5999011296;1;09.10.2023;ZLF;4900011296;850268319;ООО "АГРОТОРГ";Г. МОСКВА;125362;900002;160594;36;PC;XY20231113;5441;1
5999011296;1;09.10.2023;ZLF;4900011296;850268319;ООО "АГРОТОРГ";Г. МОСКВА;125362;900003;160594;36;PC;XY20231113;5441;1
5999011296;1;09.10.2023;ZLF;4900011296;850268319;ООО "АГРОТОРГ";Г. МОСКВА;125362;900004;160594;4;PC;XY20231113;5441;1
5999011296;1;09.10.2023;ZLF;4900011296;850268319;ООО "АГРОТОРГ";Г. МОСКВА;125362;900005;167347;4;PC;XY20231118;5441;1
5999011296;1;09.10.2023;ZLF;4900011296;850268319;ООО "АГРОТОРГ";Г. МОСКВА;125362;900006;167347;4;PC;XY20231118;5441;1
5999011297;1;09.10.2023;ZLF;4900011297;850254569;ООО "АГРОТОРГ";ПОС. СМИРНОВКА;141542;900001;176216;22;PC;XY20251009;5441;1
5999011297;1;09.10.2023;ZLF;4900011297;850254569;ООО "АГРОТОРГ";ПОС. СМИРНОВКА;141542;900002;176216;14;PC;XY20251009;5441;1
5999011297;1;09.10.2023;ZLF;4900011297;850254569;ООО "АГРОТОРГ";ПОС. СМИРНОВКА;141542;900003;176216;14;PC;XY20251009;5441;1
5999011297;1;09.10.2023;ZLF;4900011297;850254569;ООО "АГРОТОРГ";ПОС. СМИРНОВКА;141542;900004;176216;31;PC;XY20251009;5441;1
5999011297;1;09.10.2023;ZLF;4900011297;850254569;ООО "АГРОТОРГ";ПОС. СМИРНОВКА;141542;900005;109247;23;PC;XY20231113;5441;1
5999011298;1;09.10.2023;ZLF;4900011298;850168463;ООО "СОЮЗ СВЯТОГО ИОАННА ВОИНА;РП ПРАВДИНСКИЙ;141091;900001;173961;41;PC;XY20231113;5441;1
5999011298;1;09.10.2023;ZLF;4900011298;850168463;ООО "СОЮЗ СВЯТОГО ИОАННА ВОИНА;РП ПРАВДИНСКИЙ;141091;900002;173961;10;PC;XY20231113;5441;1
5999011298;1;09.10.2023;ZLF;4900011298;850168463;ООО "СОЮЗ СВЯТОГО ИОАННА ВОИНА;РП ПРАВДИНСКИЙ;141091;900003;176216;10;PC;XY20251009;5441;1
5999011298;1;09.10.2023;ZLF;4900011298;850168463;ООО "СОЮЗ СВЯТОГО ИОАННА ВОИНА;РП ПРАВДИНСКИЙ;141091;900004;176216;10;PC;XY20251009;5441;1
5999011298;1;09.10.2023;ZLF;4900011298;850168463;ООО "СОЮЗ СВЯТОГО ИОАННА ВОИНА;РП ПРАВДИНСКИЙ;141091;900005;167347;2;PC;XY20231118;5441;1
5999011298;1;09.10.2023;ZLF;4900011298;850168463;ООО "СОЮЗ СВЯТОГО ИОАННА ВОИНА;РП ПРАВДИНСКИЙ;141091;900006;167347;2;PC;XY20231118;5441;1
5999011298;1;09.10.2023;ZLF;4900011298;850168463;ООО "СОЮЗ СВЯТОГО ИОАННА ВОИНА;РП ПРАВДИНСКИЙ;141091;900007;167347;2;PC;XY20231118;5441;1
5999011298;1;09.10.2023;ZLF;4900011298;850168463;ООО "СОЮЗ СВЯТОГО ИОАННА ВОИНА;РП ПРАВДИНСКИЙ;141091;900008;176216;19;PC;XY20251009;5441;1
