Delivery;Delivery Priority;Deliv. date(From/to);Delivery Type;Reference Document;Ship-To Party;Name of the ship-to party;Location of the ship-to party;Postal Code;Item;Material;Actual delivery qty;Base Unit of Measure;Batch;Plant;Storage Location
5999011357;1;19.10.2023;ZLF;4900011357;850196574;ПАО "ДЕТСКИЙ МИР";ПОС. РЖАВКИ;141552;900001;100722;33;PC;XY20231208;5317;1
5999011357;1;19.10.2023;ZLF;4900011357;850196574;ПАО "ДЕТСКИЙ МИР";ПОС. РЖАВКИ;141552;900002;101184;25;PC;XY20231208;5317;1
5999011358;1;19.10.2023;ZLF;4900011358;850261557;ООО "СОЮЗ СВЯТОГО ИОАННА ВОИНА;ДЕР. МАЛЫЕ ВЯЗЕМЫ;143050;900001;100722;3;PC;XY20231208;5317;1
5999011358;1;19.10.2023;ZLF;4900011358;850261557;ООО "СОЮЗ СВЯТОГО ИОАННА ВОИНА;ДЕР. МАЛЫЕ ВЯЗЕМЫ;143050;900002;101184;20;PC;XY20231208;5317;1
5999011358;1;19.10.2023;ZLF;4900011358;850261557;ООО "СОЮЗ СВЯТОГО ИОАННА ВОИНА;ДЕР. МАЛЫЕ ВЯЗЕМЫ;143050;900003;106980;30;PC;XY20231208;5317;1
5999011358;1;19.10.2023;ZLF;4900011358;850261557;ООО "СОЮЗ СВЯТОГО ИОАННА ВОИНА;ДЕР. МАЛЫЕ ВЯЗЕМЫ;143050;900004;106991;39;PC;XY20231208;5317;1
5999011358;1;19.10.2023;ZLF;4900011358;850261557;ООО "СОЮЗ СВЯТОГО ИОАННА ВОИНА;ДЕР. МАЛЫЕ ВЯЗЕМЫ;143050;900005;106992;8;PC;XY20231208;5317;1
5999011358;1;19.10.2023;ZLF;4900011358;850261557;ООО "СОЮЗ СВЯТОГО ИОАННА ВОИНА;ДЕР. МАЛЫЕ ВЯЗЕМЫ;143050;900006;109247;26;PC;XY20231208;5317;1
5999011358;1;19.10.2023;ZLF;4900011358;850261557;ООО "СОЮЗ СВЯТОГО ИОАННА ВОИНА;ДЕР. МАЛЫЕ ВЯЗЕМЫ;143050;900007;111550;18;PC;XY20231208;5317;1
5999011358;1;19.10.2023;ZLF;4900011358;850261557;ООО "СОЮЗ СВЯТОГО ИОАННА ВОИНА;ДЕР. МАЛЫЕ ВЯЗЕМЫ;143050;900008;113736;35;PC;XY20231208;5317;1
5999011359;1;19.10.2023;ZLF;4900011359;850273494;ООО "АГРОТОРГ";Г. МОСКВА;121609;900001;100722;13;PC;XY20231208;5317;1
